[2026-02-05 01:29:53] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:30:03] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:30:07] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:30:11] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:30:11] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:33:01] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:33:31] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:33:38] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:34:14] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:34:17] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:34:33] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:34:37] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:34:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 01:42:45] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 02:26:44] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 02:27:56] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 02:27:58] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 02:28:28] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 17:25:52] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-02-05 17:33:56] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:36:09] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:40:02] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:42:36] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:42:50] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:43:42] toggle_play_pause called | allow_video_detach=False | detached=False
[2026-03-01 04:43:45] toggle_play_pause called | allow_video_detach=False | detached=False
